Gene	state
Acadl	-1
Tomm34	-1
Myef2	-1
Lmbr1	1
Dtwd1	-1
Gpd2	-1
Gdpgp1	1
Mppe1	1
Lepre1	1
Mdh1	1
Ogt	1
Ergic1	-1
Lphn1	-1
Acy1	1
Gfpt2	-1
Atp5j2	1
Rpp21	1
Dctn2	1
Ucp2	1
Nsmce1	1
1110059E24Rik	1
Taf1b	1
Cnot10	1
Colgalt1	1
Ctsl	1
Cdc42ep3	1
Igf1r	-1
5430403G16Rik	1
Gclc	-1
Lama5	-1
Gm3604	1
Pgd	1
Ahcyl1	-1
Klhl15	1
Rbbp5	1
Slc16a1	-1
Wrap53	1
Gtf2b	1
Fsd1	-1
Ptbp3	1
Pank1	1
Man2b1	1
Slc5a6	1
Tmx4	-1
Slc41a1	1
Pycr2	-1
Mesdc2	1
Pitpnc1	-1
Tmem87a	1
Abcd3	1
Zw10	1
Rplp2	1
Cpne1	-1
Ubac2	1
Iars	1
Prpf6	1
Atf4	1
Ctsd	1
Slc25a13	1
Bdh1	1
Rest	-1
Chsy1	-1
Wdr31	-1
Aaas	1
Trak1	1
Atox1	-1
Morc3	1
Malat1	-1
C77370	1
Dqx1	1
Aup1	1
Nudt3	1
Phka2	1
Mif4gd	1
Rell1	1
Dap	1
Csnk2b	1
Adal	1
Tex2	1
Aprt	-1
Hspb1	1
Rhebl1	-1
Slc4a8	1
Unc13b	1
Cep57l1	1
Cald1	-1
Klhl7	-1
Psmb2	-1
Tcf12	1
Oxa1l	1
Ggh	1
Calm1	-1
Zfp704	1
Gm10132	1
Pdpn	-1
Ivns1abp	-1
Tspan9	-1
Rrbp1	-1
Pgm3	1
Tnip2	1
Seh1l	-1
Zfp317	1
Prdm1	1
Neo1	1
Ajuba	-1
Nop2	1
Gm13110	1
Urod	1
Fam168a	-1
Zfp809	1
Nudt22	1
Frmd4b	1
Tmem43	1
Schip1	1
St5	1
Pnp	-1
Ncoa7	-1
Gltp	1
Ndufv2	1
Snx3	1
Krcc1	-1
Spop	-1
Gpr160	1
Slc4a7	-1
Mogs	-1
Rnf44	-1
Spata13	-1
Fasn	1
Tmc7	1
Wac	1
Rnf125	1
Syngr1	1
Acsl5	-1
Arrdc1	-1
Hars	-1
Aacs	1
Gm14399	1
Akap1	1
Nup93	1
Me2	-1
F3	-1
Pphln1	-1
Glod4	-1
Rad9a	1
Gm13235	1
Arhgap1	1
Prom1	-1
Atic	-1
Add1	1
Rps11	1
1810013L24Rik	-1
Stag3	1
Ptges3	-1
Gm9769	-1
Zcchc14	-1
Pcyt2	1
Qdpr	1
Rap1gds1	-1
Tmem91	1
Slc12a2	1
Alyref	1
Wdr18	-1
Atxn3	1
Zfp326	-1
Auts2	1
Nfkbia	1
Gm26538	1
Zfp938	1
Dars2	-1
Ankrd12	1
Asf1b	1
Scd2	1
Nasp	-1
Cct2	-1
Rbbp4	1
Zfp266	-1
Fhl1	-1
Wdr92	1
Gm10664	-1
Pum1	1
Ocrl	1
